,score,i,j
0,0.0,0.0,0.0
1,0.15847617129901193,1.0,1.0
2,0.15847617129901193,1.0,2.0
3,0.15847617129901193,1.0,3.0
4,0.15847617129901193,1.0,4.0
5,0.15847617129901193,1.0,5.0
6,0.15847617129901193,1.0,6.0
7,0.15847617129901193,1.0,7.0
8,0.15847617129901193,1.0,8.0
9,0.15847617129901193,1.0,9.0
10,0.15847617129901193,1.0,10.0
11,0.15847617129901193,1.0,11.0
12,0.15847617129901193,1.0,12.0
13,0.15847617129901193,1.0,13.0
14,0.15847617129901193,1.0,14.0
15,0.15847617129901193,1.0,15.0
16,0.15847617129901193,1.0,16.0
17,0.15847617129901193,1.0,17.0
18,0.15847617129901193,1.0,18.0
19,0.15847617129901193,1.0,19.0
20,0.15847617129901193,1.0,20.0
21,0.15847617129901193,1.0,21.0
22,0.15847617129901193,1.0,22.0
23,0.15847617129901193,1.0,23.0
24,0.15847617129901193,1.0,24.0
25,0.15847617129901193,1.0,25.0
26,0.15847617129901193,1.0,26.0
27,0.15847617129901193,1.0,27.0
28,0.15847617129901193,1.0,28.0
29,0.15847617129901193,1.0,29.0
30,0.15847617129901193,1.0,30.0
31,0.15847617129901193,1.0,31.0
32,0.15847617129901193,1.0,32.0
33,0.15847617129901193,1.0,33.0
34,0.15847617129901193,1.0,34.0
35,0.15847617129901193,1.0,35.0
36,0.15847617129901193,1.0,36.0
37,0.15847617129901193,1.0,37.0
38,0.15847617129901193,1.0,38.0
39,0.15847617129901193,1.0,39.0
40,0.15847617129901193,1.0,40.0
41,0.15847617129901193,1.0,41.0
42,0.15847617129901193,1.0,42.0
43,0.15847617129901193,1.0,43.0
44,0.15847617129901193,1.0,44.0
45,0.15847617129901193,1.0,45.0
46,0.15847617129901193,1.0,46.0
47,0.15847617129901193,1.0,47.0
48,0.15847617129901193,1.0,48.0
49,0.15847617129901193,1.0,49.0
50,0.15847617129901193,1.0,50.0
51,0.15847617129901193,1.0,51.0
52,0.15847617129901193,1.0,52.0
53,0.15847617129901193,1.0,53.0
54,0.15847617129901193,1.0,54.0
55,0.15847617129901193,1.0,55.0
56,0.15847617129901193,1.0,56.0
57,0.15847617129901193,1.0,57.0
58,0.15847617129901193,1.0,58.0
59,0.15847617129901193,1.0,59.0
60,0.15847617129901193,1.0,60.0
61,0.15847617129901193,1.0,61.0
62,0.15847617129901193,1.0,62.0
63,0.15847617129901193,1.0,63.0
64,0.15847617129901193,1.0,64.0
65,0.15847617129901193,1.0,65.0
66,0.15847617129901193,1.0,66.0
67,0.15847617129901193,1.0,67.0
68,0.15847617129901193,1.0,68.0
69,0.15847617129901193,1.0,69.0
70,0.15847617129901193,1.0,70.0
71,0.15847617129901193,1.0,71.0
72,0.15847617129901193,1.0,72.0
73,0.15847617129901193,1.0,73.0
74,0.15847617129901193,1.0,74.0
75,0.15847617129901193,1.0,75.0
76,0.15847617129901193,1.0,76.0
77,0.15847617129901193,1.0,77.0
78,0.15847617129901193,1.0,78.0
79,0.15847617129901193,1.0,79.0
80,0.15847617129901193,1.0,80.0
81,0.15847617129901193,1.0,81.0
82,0.15847617129901193,1.0,82.0
83,0.15847617129901193,1.0,83.0
84,0.15847617129901193,1.0,84.0
85,0.15847617129901193,1.0,85.0
86,0.15847617129901193,1.0,86.0
87,0.15847617129901193,1.0,87.0
88,0.15847617129901193,1.0,88.0
89,0.15847617129901193,1.0,89.0
90,0.15847617129901193,1.0,90.0
91,0.15847617129901193,1.0,91.0
92,0.15847617129901193,1.0,92.0
93,0.15847617129901193,1.0,93.0
94,0.15847617129901193,1.0,94.0
95,0.15847617129901193,1.0,95.0
96,0.15847617129901193,1.0,96.0
97,0.15847617129901193,1.0,97.0
98,0.15847617129901193,1.0,98.0
99,0.15847617129901193,1.0,99.0
100,0.15847617129901193,1.0,100.0
101,0.1305328770200994,2.0,1.0
102,0.1305328770200994,2.0,2.0
103,0.1305328770200994,2.0,3.0
104,0.1305328770200994,2.0,4.0
105,0.1305328770200994,2.0,5.0
106,0.1305328770200994,2.0,6.0
107,0.1305328770200994,2.0,7.0
108,0.1305328770200994,2.0,8.0
109,0.1305328770200994,2.0,9.0
110,0.1305328770200994,2.0,10.0
111,0.1305328770200994,2.0,11.0
112,0.1305328770200994,2.0,12.0
113,0.1305328770200994,2.0,13.0
114,0.1305328770200994,2.0,14.0
115,0.1305328770200994,2.0,15.0
116,0.1305328770200994,2.0,16.0
117,0.1305328770200994,2.0,17.0
118,0.1305328770200994,2.0,18.0
119,0.1305328770200994,2.0,19.0
120,0.1305328770200994,2.0,20.0
121,0.1305328770200994,2.0,21.0
122,0.1305328770200994,2.0,22.0
123,0.1305328770200994,2.0,23.0
124,0.1305328770200994,2.0,24.0
125,0.1305328770200994,2.0,25.0
126,0.1305328770200994,2.0,26.0
127,0.1305328770200994,2.0,27.0
128,0.1305328770200994,2.0,28.0
129,0.1305328770200994,2.0,29.0
130,0.1305328770200994,2.0,30.0
131,0.1305328770200994,2.0,31.0
132,0.1305328770200994,2.0,32.0
133,0.1305328770200994,2.0,33.0
134,0.1305328770200994,2.0,34.0
135,0.1305328770200994,2.0,35.0
136,0.1305328770200994,2.0,36.0
137,0.1305328770200994,2.0,37.0
138,0.1305328770200994,2.0,38.0
139,0.1305328770200994,2.0,39.0
140,0.1305328770200994,2.0,40.0
141,0.1305328770200994,2.0,41.0
142,0.1305328770200994,2.0,42.0
143,0.1305328770200994,2.0,43.0
144,0.1305328770200994,2.0,44.0
145,0.1305328770200994,2.0,45.0
146,0.1305328770200994,2.0,46.0
147,0.1305328770200994,2.0,47.0
148,0.1305328770200994,2.0,48.0
149,0.1305328770200994,2.0,49.0
150,0.1305328770200994,2.0,50.0
151,0.1305328770200994,2.0,51.0
152,0.1305328770200994,2.0,52.0
153,0.1305328770200994,2.0,53.0
154,0.1305328770200994,2.0,54.0
155,0.1305328770200994,2.0,55.0
156,0.1305328770200994,2.0,56.0
157,0.1305328770200994,2.0,57.0
158,0.1305328770200994,2.0,58.0
